cnpj_basico;cnpj_ordem;cnpj_dv;nome_fantasia;situacao;data_situacao;data_inicio;cnae_fiscal;bairro;municipio;Nome_Cidade;razao_social;capital_social;porte;opcao_simples;opcao_mei
03314120;0001;51;;04;20190327;19990729;4789099;CENTRO;4305;Carmo da Mata;J R TELECOMUNICACOES LTDA;0,00;01;;
04852686;0001;08;RAINHA RACOES & CIA;08;20041220;20020110;4789004;VILA REIS;4305;Carmo da Mata;CONCEICAO ROSA JORGE;0,00;05;;
02148055;0001;79;CAFE SABIA;08;19980531;19970925;5611203;CENTRO;4305;Carmo da Mata;SEBASTIANA SOUZA DE OLIVEIRA;0,00;05;;
17070335;0001;89;BAR DO LENO;08;20081231;19811105;5611203;CENTRO;4305;Carmo da Mata;LUIZ HELENO DE OLIVEIRA;0,00;05;;
41734997;0001;90;;08;19921127;19911105;4755501;TAQUARA PRETA;4305;Carmo da Mata;MARIA CRISTINA ANTUNES BARCELOS PINHEIRO;0,00;05;;
05170850;0001;51;;08;20021231;20020731;9492800;;4305;Carmo da Mata;ELEICAO 2002 - CANDIDATO TARCISIO HUMBERTO PARREIRAS HENRIQUES;0,00;05;;
71470280;0001;40;DEPOSITO GONZAGA;08;19951020;19940120;4712100;VILA DOMING LOPES;4305;Carmo da Mata;WILMA DA CONCEICAO G PEREIRA;0,00;05;;
86553559;0001;64;PINGUINHO DE GENTE;08;19960831;19940811;4755501;CENTRO;4305;Carmo da Mata;DIAS DA CRUZ & ARAUJO MACHADO LTDA;0,00;05;;
25403239;0001;33;;08;19890731;19880825;5611203;VILA DOMINGOS LOPES;4305;Carmo da Mata;EDUARDO DE CARVALHO MAURICIO;0,00;05;;
26102913;0001;02;;08;19911219;19891006;8888888;COLINAS;4305;Carmo da Mata;SANSONE & COUTO CONSULTORIA LTDA;0,00;05;;
00899316;0001;67;VARIEDADES ALIMENTICIOS;08;19951231;19931106;4712100;CENTRO;4305;Carmo da Mata;RICARDO DE AZEVEDO;0,00;05;;
38715702;0001;24;;04;20190123;19900727;4649408;CENTRO;4305;Carmo da Mata;R B MOVEIS LTDA;0,00;01;;
03562617;0001;99;CENITUR;08;20161213;19991215;9430800;MENEZES;4305;Carmo da Mata;ASSOCIACAO DO CENTRO DE INFORMACAO TURISTICA - CENITUR;0,00;05;;
00582290;0001;29;BAR E MERCEARIA DO PEDRAO;08;20051219;19950428;4712100;LEONARDO;4305;Carmo da Mata;JOSE PEDRO DE OLIVEIRA;0,00;01;;
07202572;0001;00;MIX BURGUER;02;0;20041210;5611203;COLINAS;4305;Carmo da Mata;MIQUELITO E CAMPOS, ALIMENTACAO LTDA;5000,00;01;S;00000000
07291026;0001;85;C & S CENTRO;04;20241127;20050318;4781400; ED SOPPING CIDADE;4305;Carmo da Mata;C & S CENTRO LTDA;0,00;01;S;00000000
05637359;0001;98;EXTREME SOM;03;20090603;20030507;4753900;CENTRO;4305;Carmo da Mata;SO ELETRONICA LTDA;8000,00;01;S;00000000
02989968;0001;18;;02;19980715;19980715;8112500;CENTRO;4305;Carmo da Mata;CONDOMINIO DO EDIFICIO PORTAL DO SOL;0,00;05;;
21143599;0001;92;;08;20000225;19800513;5611203;VILA REIS;4305;Carmo da Mata;MARIA DA PENHA SOARES MENDES;0,00;01;;
01431296;0001;68;MERCEARIA FORCA DO SOL;08;20020115;19960911;4712100;GRANJARIA;4305;Carmo da Mata;MARCO ANTONIO DE FREITAS GAMA;0,00;05;;
03703075;0001;27;ESPORTES BAR;08;20001204;20000308;5611203;IBRAIM;4305;Carmo da Mata;VANDERLEA BASTOS DA COSTA;0,00;05;;
21955158;0001;95;TEIXEIRA ATACADISTA;04;20240821;19860410;4633801;MENEZES;4305;Carmo da Mata;EDYL TEIXEIRA;0,00;01;;
25678632;0001;30;;08;20081231;19890308;8130300;CENTRO;4305;Carmo da Mata;ARDOSIAS CATAGUASES LTDA;0,00;05;;
26145425;0001;82;;04;20190327;19910516;9430800;HAIDEE FAJARDO;4305;Carmo da Mata;SOCIEDADE MUSICAL E ESCOLA PIERRE THEOTONIO DA SILVA;0,00;05;;
71503346;0001;50;1000 MEU COM 1000 SEU;08;20081231;19940208;4712100;HAIDEE;4305;Carmo da Mata;HELIA LUCIA DE OLIVEIRA BASTOS;0,00;05;;
18421941;0001;64;;08;19840705;19830819;8888888;VILA TEREZA;4305;Carmo da Mata;BAR QUEIDINIZ LTDA;0,00;05;;
19402056;0001;09;LABORATORIO EULER;08;19780131;19770124;8888888;CENTRO;4305;Carmo da Mata;EULER EUSTAQUIO DE ALMEIDA;0,00;05;;
19525724;0001;87;;08;19910923;19691231;5611203;CENTRO;4305;Carmo da Mata;AGUSTINHO MACHADO DE SOUZA;0,00;05;;
19725571;0001;11;FARMACIA TODOS OS SANTOS;08;19850430;19841101;8888888;VILA MINALDA;4305;Carmo da Mata;FLAVIO DA COSTA LAZARONI;0,00;05;;
20278461;0001;38;BAR SILVA;08;19810915;19800526;8888888;CHACARA PALMEIRAS;4305;Carmo da Mata;FRANCISCO MARTINS DA SILVA;0,00;05;;
64234842;0001;90;BAR SANTANA;08;19910717;19900829;5611203;PAMPULHA;4305;Carmo da Mata;FRANCISCO CLOTILDES DE BARROS;0,00;05;;
01775313;0001;84;;04;20220607;19970217;4789099;HAYDEE FAJARDO;4305;Carmo da Mata;JESUS ANTONIO DIAS DA CRUZ;0,00;01;;
03466706;0001;31;;08;20030324;19991021;4721102;CENTRO;4305;Carmo da Mata;PLANETA PAO LTDA;0,00;05;;
01949504;0001;15;;08;20150209;19970626;4754701;CENTRO;4305;Carmo da Mata;MIMO'S MOVEIS LTDA;0,00;05;;
05311189;0001;57;;08;20020925;20020925;4763601;CENTRO;4305;Carmo da Mata;MARIA LUCIA PEREIRA BORGES;0,00;05;;
05364749;0001;31;SERRALHERIA J.A.;08;20040303;20021008;4744001;CENTRO;4305;Carmo da Mata;FELIX RODRIGUES LTDA;0,00;05;;
03774124;0001;12;;08;20080616;20000425;8299799;TAQUARA PRETA;4305;Carmo da Mata;G.L. REPRESENTACOES LTDA;600,00;01;;
03894174;0001;33;CONSTRUIR;08;20161121;20000623;4744005;VILA MINALDA;4305;Carmo da Mata;PINGUIM MATERIAIS DE CONSTRUCAO LTDA;0,00;01;N;00000000
03910244;0001;08;;08;20081231;20000704;4729699;SANTA CLARA;4305;Carmo da Mata;GERALDO CUSTODIO DA SILVA;0,00;01;;
00654878;0001;40;;04;20190123;19950609;0322101;POPULAR;4305;Carmo da Mata;RANIK AGRO INDUSTRIA E COMERCIO LTDA;0,00;01;;
05666527;0001;73;MIRAI VEICULOS;04;20190123;20030528;4520005;CENTRO;4305;Carmo da Mata;COSTA ANDRADE LTDA;0,00;05;;
02320722;0001;59;;08;20081231;19971027;4781400;ISABEL TAVARES;4305;Carmo da Mata;GILBERTO RUBACK DE PAIVA;0,00;05;;
04042976;0001;88;;08;20020816;20000912;4755503;VILA DOMINGOS LOPES;4305;Carmo da Mata;JO UTILAR LTDA;0,00;05;;
05747717;0001;15;E M S PRODUCOES;04;20190123;20030626;7420001;GRANJARIA;4305;Carmo da Mata;GOMES & SANTIAGO LTDA;0,00;01;;
05792637;0001;81;;02;20050611;20030327;4712100;CENTRO;4305;Carmo da Mata;COMERCIAL N 1 ALIMENTOS DE CATAGUASES LTDA;100000,00;03;S;00000000
04166134;0001;38;;04;20220607;20001107;9609299;CENTRO;4305;Carmo da Mata;MELO E CONDE PRESTACAO DE SERVICOS LTDA;0,00;01;;
05836683;0001;35;UTILIDADES VM;08;20140613;20030801;4755502;VILA MINALDA;4305;Carmo da Mata;ALCANTARA UTILIDADES CATAGUASES LTDA;0,00;01;;
05974389;0001;90;SERRALHERIA E VIDRACARIA MP;08;20140613;20031106;4743100;VILA DOMINGOS LOPES;4305;Carmo da Mata;SERRALHERIA E VIDRACARIA MATIAS & PIRES LTDA;0,00;01;;
00971757;0001;22;;08;20081231;19951214;8640201;CENTRO;4305;Carmo da Mata;SIAP-SERVICO INFORMATIZADO DE APOIO PEDAGOGICO LTDA;0,00;05;;
02627681;0001;48;;08;20100816;19980430;5611203;BANDEIRANTES II;4305;Carmo da Mata;CI & CY COMERCIO SERVICOS LTDA;0,00;01;;
06081355;0001;39;ICC;02;20041023;20040127;9430800;GUANABARA;4305;Carmo da Mata;INSTITUTO CIDADE DE CATAGUASES;0,00;05;;
06088782;0001;49;MANTO VERDE FESTAS;02;20051103;20040116;8230002;ZONA RURAL;4305;Carmo da Mata;MANTO VERDE FESTAS LTDA;30000,00;01;S;00000000
02711996;0001;79;;08;20030226;19980807;4330499;CENTRO;4305;Carmo da Mata;22 DE JULHO PRESTACAO DE SERVICOS LTDA.;0,00;05;;
04450098;0001;30;;08;20040128;20010516;4929902;LEONARDO;4305;Carmo da Mata;VITA TURISMO LTDA.;0,00;05;;
04465846;0001;58;;08;20070416;20010518;4781400;CENTRO;4305;Carmo da Mata;LYBIA DE ALMEIDA WERNECK;0,00;01;;
17680257;0001;34;BAR SAO RAFAEL;08;19850321;19830221;8888888;PAMPULHA;4305;Carmo da Mata;ANTONIO AFONSO RAFAEL;0,00;05;;
17703828;0001;09;;08;19890626;19720608;3101200;CENTRO;4305;Carmo da Mata;M D L MOVEIS DECORACAO LTDA;0,00;05;;
17704479;0001;40;;08;20150209;19730130;4930202;PAMPULHA;4305;Carmo da Mata;TRANSPORTADORA RABELO LTDA;0,00;05;;
17705112;0001;40;NOSSO BAR;08;19780127;19730705;8888888;CENTRO;4305;Carmo da Mata;CARVALHO CARVALHO LTDA;0,00;05;;
04021098;0001;14;;08;20110426;20000829;4781400;CENTRO;4305;Carmo da Mata;TOQUE DE PELE LTDA;0,00;01;;
17739541;0001;39;BAR E LANCHONETE GOUVEA;08;19840517;19830311;8888888;PAMPULHA;4305;Carmo da Mata;ITERBAL ALCANTARA GOUVEA;0,00;05;;
17881970;0001;46;;08;20000225;19751007;8888888;VILA TEREZA;4305;Carmo da Mata;TRANSOL TRANSPORTADORA SOUSA LTDA;0,00;05;;
18108654;0001;07;BAR E RESTAURANTE SAO JORGE;08;19830804;19830620;8888888;CENTRO;4305;Carmo da Mata;DARCI HERCULANO DA SILVA;0,00;05;;
18163717;0001;10;;08;19911128;19830725;8888888;GLORIA;4305;Carmo da Mata;BENEFICIADORA TACAO LTDA;0,00;05;;
